title,price,area,location,scraped_date,published_date,description,bedrooms,bathrooms,prid,url
"BÁN GẤP BIỆT THỰ LÔ GÓC, HƯỚNG ĐÔNG NAM TẠI SOLASTA MANSION, 188M2, 6PN, 5WC, CHỈ 239TR/M2",45 tỷ,188 m²,"Dương Nội, Hà Đông",17/01/2026,,,,,,
"XẢ NỐT 200 CĂN CUỐI KEPLER LAND, CƠ HỘI CUỐI MUA TRỰC TIẾP CHỦ ĐẦU TƯ, LH 0981 960 ***",8 tỷ,85 m²,"Mỗ Lao, Hà Đông",13/01/2026,,,,,,
"HIẾM, NHÀ 7 TẦNG DÒNG TIỀN TỐT, ĐẦY ĐỦ PCCC, LÔ GÓC, VIEW HỒ SIÊU ĐẸP, LÀM VIỆC CHÍNH CHỦ",20 tỷ,50 m²,"Mỗ Lao, Hà Đông",13/01/2026,,,,,,
"Chỉ với 8,6 tỷ cơ hội sở hữu ngay căn hộ 3 phòng ngủ tại Mulberry Lane LH ngay","8,6 tỷ","·116,3 m²","Mỗ Lao, Hà Đông",17/01/2026,,,,,,
"Bán gấp CC 3PN 2WC tại CT5 Văn Khê, 6,8 tỷ, 110.8m2, Hà Đông, HN","6,8 tỷ","·110,8 m²","La Khê, Hà Đông",17/01/2026,,,,,,
,,,,17/01/2026,,,,,,
,,,,17/01/2026,,,,,,
,,,,17/01/2026,,,,,,
,,,,17/01/2026,,,,,,
,,,,17/01/2026,,,,,,
,,,,17/01/2026,,,,,,
,,,,17/01/2026,,,,,,
,,,,17/01/2026,,,,,,
Quỹ căn chuyển nhượng solasta và An Quý Villas từ 2x tỷ . Rẻ nhất dự án,Giá thỏa thuận,170 m²,"Dương Nội, Hà Đông",17/01/2026,,,,,,
"Bán căn hộ chung cư Vinaconex 21, 5,7 tỷ, 97m2, 2PN, 2WC tại Ba La, Hà Đông","5,7 tỷ",97 m²,"Phú La, Hà Đông",17/01/2026,,,,,,
"Cần bán lô góc biệt thự Dương Nội, mặt đường Lê Quang Đạo. LH: 0983 983 ***",71 tỷ,203 m²,"Dương Nội, Hà Đông",17/01/2026,,,,,,
"CHÍNH CHỦ BÁN Biệt Thự AN VƯỢNG DƯƠNG NỘI 190 m2 KINH DOANH 37,5 tỷ","37,5 tỷ",190 m²,"Dương Nội, Hà Đông",17/01/2026,,,,,,
"Cần bán biệt thự tại Solasta Mansion với giá 29 tỷ VND, diện tích 170m2",29 tỷ,170 m²,"Dương Nội, Hà Đông",17/01/2026,,,,,,
Chỉ với Giá 7Xtr/m3 MỞ BÁN ĐỢT ĐẦU AN BÌNH HOMELAND GELEXIMCO Lê Trọng Tấn Cạnh AEON HàĐông CHỌNCĂN,"4,75 tỷ",68 m²,"Dương Nội, Hà Đông",17/01/2026,,,,,,
"Chính chủ bán căn hộ 3PN, 2VS tại CT4 Booyoung, Hà Đông, Hà Nội, chỉ với giá ưu đãi 7,9 tỷ VND","7,9 tỷ","95,5 m²","Mỗ Lao, Hà Đông",17/01/2026,,,,,,
"Bán căn góc 2 mặt đường biệt thự Dương Nội Nam Cường. Cạnh hồ công viên, Aeon Nhật Bản. Vị trí đẹp","39,5 tỷ",225 m²,"Dương Nội, Hà Đông",16/01/2026,,,,,,
Cần bán nhanh căn nhà có thể đầu tư kinh doanh tại Trần Phú,"10,52 tỷ","60,8 m²","Mỗ Lao, Hà Đông",16/01/2026,,,,,,
Trực tiếp chủ đầu tư mở bán 10 suất ngoại giao chung cư An Bình Homeland - Geleximco,Giá thỏa thuận,"68,1 m²","Dương Nội, Hà Đông",16/01/2026,,,,,,
Bán nhanh 5 suất ngoại giao căn 74.6m2 căn 2 phòng ngủ tại An Bình Homeland Geleximco,Giá thỏa thuận,"74,6 m²","Dương Nội, Hà Đông",16/01/2026,,,,,,
"Chính chủ gửi bán 20 lô đất dịch vụYên Nghĩa, Hà Đông. Giá 11~17 tỷ. Lh 0365466 chín tám tám","11,2 tỷ",50 m²,"Yên Nghĩa, Hà Đông",16/01/2026,,,,,,
Nhận thông tin mở bán chung cư cao tầng An Bình HomeLand KĐT Geleximco. Hotline: 0565 937 ***,Giá thỏa thuận,68 m²,"Dương Nội, Hà Đông",16/01/2026,,,,,,
"Liền kề - Biệt thự Geleximco Lê Trọng Tấn, Hà Đông. Quỹ căn Chuyển nhượng cập nhật mới nhất",Giá thỏa thuận,120 m²,"Dương Nội, Hà Đông",16/01/2026,,,,,,
